Date,ABT,lag_1,lag_5,lag_15,lag_25,lag_30,lag_60,lag_90,EMA_20,SMA_10,SMA_20,SMA_30,SMA_50,SMA_200,retorno_diario,retorno_5d,retorno_20d,retorno_30d,retorno_200d,volatilidad_20,momentum_10,BB_medio,BB_sup,BB_inf,RSI_14,MACD,Signal,target_retorno_20d
2018-07-17,55.5830650329589,54.6802787780761,55.3431434631347,53.5456657409668,55.6251068115234,55.5281677246093,52.1534919738769,54.2537422180175,54.80338008064558,54.765410232543886,54.49124088287349,54.84834124247229,54.43687942504878,51.61909883499141,-0.020298278467644093,-0.006122486619433487,-0.013548025999361446,-0.005645041515431659,0.20730758436855656,0.0076237344064286955,0.01750631606616504,54.49124088287349,56.04481998044892,53.012760204487506,60.877190929383914,0.2054895580581615,0.07025167683000413,0.013216462798424367
2018-07-18,57.3089714050293,55.5830650329589,55.1316680908203,53.5809020996093,55.440071105957,55.5369834899902,51.8450927734375,55.7707710266113,55.04200782582499,54.948884582519476,54.502796554565386,54.85017115275061,54.5134010314941,51.664088592529254,0.016510271619989858,0.004335163397142683,0.004175343906782203,0.0009886389304589738,0.1931507905988914,0.00891361302412676,0.034135828755552655,54.502796554565386,56.03810411417146,52.94437765157552,66.45673567445203,0.2486393755139673,0.09729925307563561,-0.019768420888675697
2018-07-19,56.4504432678222,57.3089714050293,55.5299644470214,53.2989501953125,55.1845474243164,55.9863586425781,51.3781051635742,55.7883224487304,55.17614453458663,55.32169151306147,54.621794319152784,54.90923741658525,54.61421974182125,51.71892374038692,0.03105093918528956,0.03949278862054828,0.04332783399651419,0.031906448706535695,0.23665451074400856,0.009698481019680428,0.06957832286006216,54.621794319152784,56.49094447012742,52.514648639003354,76.63734843589646,0.4172918561870773,0.12756727756330197,0.005957976489621375
2018-07-20,56.0432929992675,56.4504432678222,55.813190460205,53.986213684082,55.4753150939941,55.6691513061523,51.6776809692382,55.4200210571289,55.25873010265148,55.56282653808588,54.70667667388911,54.924706904093384,54.70861770629879,51.76807662963863,-0.014980693531200795,0.01657625445949984,0.03100566936087712,0.008289244674883456,0.21086671448553274,0.011694548442817946,0.044622330161235846,54.70667667388911,56.77185786024814,52.47173077805743,66.00496216436346,0.4761849528211499,0.18551219328805704,0.022110398775121887
2018-07-23,55.9371070861816,56.0432929992675,54.6802787780761,53.7394981384277,55.4312629699707,55.7484550476074,52.4266319274902,55.1218681335449,55.32333743441625,55.69011383056635,54.788383483886676,54.93717829386389,54.782713012695275,51.81488985061641,-0.007212525623988997,0.00412272685301085,0.03003421291711006,0.00672080828136945,0.2005679962788416,0.012262901973548996,0.0232401526786572,54.788383483886676,56.932017708217046,52.48133563956118,64.65748730175943,0.4844204349965153,0.24364674519467563,0.022784617968726772
2018-07-24,56.9991950988769,55.9371070861816,55.5830650329589,53.7483215332031,55.351951599121,55.6251068115234,52.4795036315918,54.8851165771484,55.48294292626965,55.7821125030517,54.856410598754834,54.943466695149695,54.834242706298795,51.85861017227168,-0.0018947122376854475,0.02298503841222943,0.024929057052745174,0.003383986846148268,0.18528291079737103,0.0122962919828939,0.01672182620266982,54.856410598754834,57.06895695300846,52.50781001476489,63.755345453289934,0.47688160391911794,0.2918014831550436,0.005434748782241927
2018-07-25,57.7338180541992,56.9991950988769,57.3089714050293,53.5809020996093,54.9290161132812,55.440071105957,51.219497680664,55.402473449707,55.697311986072464,55.94771766662592,55.029087066650334,54.98926963806148,54.89467857360835,51.90512237548823,0.01898718164060509,0.02547772536613957,0.06449689830390648,0.0247026633496521,0.19503299017916453,0.012314088797529111,0.029923338865732063,55.029087066650334,57.23977191304858,52.47304928446109,69.31065351310667,0.550265533815157,0.32881750730785847,0.006745350083853907
2018-07-26,58.1143989562988,57.7338180541992,56.4504432678222,54.0390930175781,54.7527961730957,55.1845474243164,51.8274726867675,54.5957298278808,55.92751074514164,56.20793266296381,55.23673286437984,55.06572786966956,54.95641380310054,51.954960212707476,0.01288830401987151,0.007413265999267615,0.07750739147447439,0.04137344888787009,0.20867385060546528,0.011952375717925231,0.04719882516691287,55.23673286437984,57.597639698353504,52.460534434947164,70.24012725649581,0.6600916344851697,0.37310711260931817,0.0025890847526641725
2018-07-27,57.7603683471679,58.1143989562988,56.0432929992675,54.7704200744628,54.4091567993164,55.4753150939941,50.9727897644043,54.9377250671386,56.10206861200128,56.466376113891556,55.47750530242915,55.16338958740231,55.05184165954585,52.00817737579341,0.006591992612411612,0.029476397210596916,0.09034791010592569,0.05309188294061107,0.22420931019511148,0.01212719846914824,0.04654125993080882,55.47750530242915,57.93973239041306,52.533733338346615,69.05079406198658,0.7689750430467015,0.4305040169844885,0.012871351079752236
2018-07-30,57.6806983947753,57.7603683471679,55.9371070861816,55.0171203613281,54.5765647888183,55.4312629699707,51.0432739257812,54.7360229492187,56.25241430559881,56.661093902587844,55.66621303558345,55.23955802917476,55.13613571166988,52.056411018371534,-0.006091960262673113,0.030638373585985423,0.06990960109133781,0.04119045109166386,0.2004988304647175,0.011948886686058757,0.0348874140845119,55.66621303558345,58.26770549891686,52.68730510594144,65.43958832688207,0.8172775505298091,0.4981982221969311,0.025625222832698746
